LABEL,T_F,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,BF_2TF,B_T,H_TW,H_T,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS,EDI_STD_NOMENCLATURE,AISC_MANUAL_LABEL,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,X,Y,E0,XP,YP,W,B_T,H_T,H_TW,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
WT9X96,F,97.0,28.2,10.2,0,0,11.5,0,0,0.960,1.75,0,0,0.00,2.15,2.4375,0,0.00,2.34,0.00,0.00,1.23,3.27,0.00,8.36,0.00,10.6,202,48.5,25.8,2.68,220,59.4,38.4,2.79,0.00,22.3,75.7,0.00,0.00,0.00,0.00,0.00,4.13,0.875,0.00,1.00,WT230X143,WT230X143,143,18200,259,0.00,0.00,292,0.00,0.00,24.4,44.5,0.00,0.00,0.00,54.6,61.9,0.00,59.4,0.00,0.00,31.2,143,0.00,0.00,8.36,10.6,84.1,795,423,68.1,91.6,973,629,70.9,0.00,9280,20.3,0.00,0.00,0.00,0.00,0.00,105,0.875,0.00,1.00
WT9X87.5,F,87.5,25.7,10.0,0,0,11.4,0,0,0.890,1.59,0,0,0.00,1.99,2.4375,0,0.00,2.26,0.00,0.00,1.13,3.58,0.00,9.02,0.00,11.3,181,43.6,23.4,2.66,196,53.1,34.4,2.76,0.00,16.8,56.5,0.00,0.00,0.00,0.00,0.00,4.10,0.872,0.00,1.00,WT230X130,WT230X130,130,16600,254,0.00,0.00,290,0.00,0.00,22.6,40.4,0.00,0.00,0.00,50.5,61.9,0.00,57.4,0.00,0.00,28.7,130,0.00,0.00,9.02,11.3,75.3,714,383,67.6,81.6,870,564,70.1,0.00,6990,15.2,0.00,0.00,0.00,0.00,0.00,104,0.872,0.00,1.00
WT9X79,F,79.0,23.2,9.86,0,0,11.3,0,0,0.810,1.44,0,0,0.00,1.84,2.375,0,0.00,2.17,0.00,0.00,1.02,3.92,0.00,9.90,0.00,12.2,160,38.5,20.8,2.63,174,47.4,30.7,2.74,0.00,12.5,41.2,0.00,0.00,0.00,0.00,0.00,4.06,0.872,0.00,1.00,WT230X117.5,WT230X117.5,118,15000,250,0.00,0.00,287,0.00,0.00,20.6,36.6,0.00,0.00,0.00,46.7,60.3,0.00,55.1,0.00,0.00,25.9,118,0.00,0.00,9.90,12.2,66.6,631,341,66.8,72.4,777,503,69.6,0.00,5200,11.1,0.00,0.00,0.00,0.00,0.00,103,0.872,0.00,1.00
WT9X71.5,F,71.5,21.0,9.75,0,0,11.2,0,0,0.730,1.32,0,0,0.00,1.72,2.1875,0,0.00,2.09,0.00,0.00,0.937,4.25,0.00,11.0,0.00,13.3,142,34.0,18.5,2.60,156,42.7,27.7,2.72,0.00,9.58,30.7,0.00,0.00,0.00,0.00,0.00,4.02,0.874,0.00,1.00,WT230X106.5,WT230X106.5,106,13500,248,0.00,0.00,284,0.00,0.00,18.5,33.5,0.00,0.00,0.00,43.7,55.6,0.00,53.1,0.00,0.00,23.8,107,0.00,0.00,11.00,13.3,59.1,557,303,66.0,64.9,700,454,69.1,0.00,3990,8.24,0.00,0.00,0.00,0.00,0.00,102,0.874,0.00,1.00
WT9X65,F,65.0,19.1,9.63,0,0,11.2,0,0,0.670,1.20,0,0,0.00,1.60,2.0625,0,0.00,2.02,0.00,0.00,0.856,4.65,0.00,12.0,0.00,14.4,127,30.5,16.7,2.58,139,38.3,24.9,2.70,0.00,7.23,22.8,0.00,0.00,0.00,0.00,0.00,4.00,0.873,0.00,1.00,WT230X96.5,WT230X96.5,96.5,12300,245,0.00,0.00,284,0.00,0.00,17.0,30.5,0.00,0.00,0.00,40.6,52.4,0.00,51.3,0.00,0.00,21.7,96.5,0.00,0.00,12.00,14.4,52.9,500,274,65.5,57.9,628,408,68.6,0.00,3010,6.12,0.00,0.00,0.00,0.00,0.00,102,0.873,0.00,1.00
WT9X59.5,F,59.5,17.5,9.49,0,0,11.3,0,0,0.655,1.06,0,0,0.00,1.46,1.9375,0,0.00,2.03,0.00,0.00,0.778,5.31,0.00,12.2,0.00,14.5,119,28.7,15.9,2.60,126,34.5,22.5,2.69,0.00,5.30,17.4,0.00,0.00,0.00,0.00,0.00,4.03,0.862,0.00,1.00,WT230X88.5,WT230X88.5,88.5,11300,241,0.00,0.00,287,0.00,0.00,16.6,26.9,0.00,0.00,0.00,37.1,49.2,0.00,51.6,0.00,0.00,19.8,88.5,0.00,0.00,12.20,14.5,49.5,470,261,66.0,52.4,565,369,68.3,0.00,2210,4.67,0.00,0.00,0.00,0.00,0.00,102,0.862,0.00,1.00
WT9X53,F,53.0,15.6,9.37,0,0,11.2,0,0,0.590,0.940,0,0,0.00,1.34,1.8125,0,0.00,1.97,0.00,0.00,0.695,5.96,0.00,13.6,0.00,15.9,104,25.2,14.1,2.59,110,30.2,19.7,2.66,0.00,3.73,12.1,0.00,0.00,0.00,0.00,0.00,4.00,0.860,0.00,1.00,WT230X79,WT230X79,79.0,10100,238,0.00,0.00,284,0.00,0.00,15.0,23.9,0.00,0.00,0.00,34.0,46.0,0.00,50.0,0.00,0.00,17.7,79,0.00,0.00,13.60,15.9,43.3,413,231,65.8,45.8,495,323,67.6,0.00,1550,3.25,0.00,0.00,0.00,0.00,0.00,102,0.860,0.00,1.00
WT9X48.5,F,48.5,14.3,9.30,0,0,11.1,0,0,0.535,0.870,0,0,0.00,1.27,1.75,0,0.00,1.91,0.00,0.00,0.640,6.41,0.00,15.0,0.00,17.4,93.8,22.6,12.7,2.56,100,27.6,18.0,2.65,0.00,2.92,9.29,0.00,0.00,0.00,0.00,0.00,3.97,0.863,0.00,1.00,WT230X72,WT230X72,72.0,9230,236,0.00,0.00,282,0.00,0.00,13.6,22.1,0.00,0.00,0.00,32.3,44.5,0.00,48.5,0.00,0.00,16.3,72,0.00,0.00,15.00,17.4,39.0,370,208,65.0,41.6,452,295,67.3,0.00,1220,2.49,0.00,0.00,0.00,0.00,0.00,101,0.863,0.00,1.00
WT9X43,F,43.0,12.7,9.20,0,0,11.1,0,0,0.480,0.770,0,0,0.00,1.17,1.625,0,0.00,1.86,0.00,0.00,0.570,7.20,0.00,16.7,0.00,19.2,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,0.00,2.04,6.42,0.00,0.00,0.00,0.00,0.00,3.95,0.861,0.00,0.939,WT230X64,WT230X64,64.0,8190,234,0.00,0.00,282,0.00,0.00,12.2,19.6,0.00,0.00,0.00,29.7,41.3,0.00,47.2,0.00,0.00,14.5,64,0.00,0.00,16.70,19.2,34.3,326,184,64.8,36.5,397,259,66.8,0.00,849,1.72,0.00,0.00,0.00,0.00,0.00,100,0.861,0.00,0.939
WT9X38,F,38.0,11.2,9.11,0,0,11.0,0,0,0.425,0.680,0,0,0.00,1.08,1.5625,0,0.00,1.80,0.00,0.00,0.505,8.11,0.00,18.9,0.00,21.4,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,0.00,1.41,4.37,0.00,0.00,0.00,0.00,0.00,3.93,0.861,0.00,0.825,WT230X56.5,WT230X56.5,56.5,7230,231,0.00,0.00,279,0.00,0.00,10.8,17.3,0.00,0.00,0.00,27.4,39.7,0.00,45.7,0.00,0.00,12.8,56.5,0.00,0.00,18.90,21.4,29.9,283,161,64.5,31.7,346,226,66.3,0.00,587,1.17,0.00,0.00,0.00,0.00,0.00,100,0.861,0.00,0.825
